Invoice Number,Order Date,Delivery Date,Shipping Type,Client Code,Client Name,Client Segment,Country,Location,Region Code,Zip Code,Product Code,Product Category,Product Description,Sale Amount,Quantity,DiscountRate,Profit Margin,Payment Method,Warranty (Years),Customer Satisfaction,Product Return Status,Sales Channel,Customer Loyalty Program,Marketing Campaign Code
INV-000052,2025-02-24,2025-02-28,In-Store Pickup,CL-9225,Laura Martinez,E-commerce,Italy,Milan,TX,31982,PD-2721,Fitness Gear,Cordless Drill,217.44,8,0.2,257.44,Credit Card,3,4,No Return,In-Store,Bronze,MC-8924
INV-000077,2025-08-18,2025-08-22,In-Store Pickup,CL-6058,James Parker,E-commerce,France,Marseille,FL,63016,PD-2539,Wearable Tech,Cordless Drill,1105.56,7,0.05,160.11,Bank Transfer,5,3,Returned,Wholesale,Silver,MC-1564
INV-000077,2025-08-18,2025-08-22,In-Store Pickup,CL-6058,James Parker,E-commerce,France,Marseille,FL,63016,PD-2539,Wearable Tech,Cordless Drill,1105.56,7,0.05,160.11,Bank Transfer,5,3,Returned,Wholesale,Silver,MC-3953
INV-000054,2025-03-10,2025-03-14,Freight,CL-6120,James Parker,E-commerce,Italy,Rome,SF,55663,PD-4476,Automotive Parts,Decorative Lamp,2339.61,2,0.13,22.91,Credit Card,2,4,No Return,In-Store,None,MC-2357
INV-000063,2025-05-12,2025-05-16,In-Store Pickup,CL-4488,David Harris,E-commerce,Germany,Hamburg,FL,73487,PD-1962,Automotive Parts,Yoga Mat,898.97,1,0.25,192.65,Bank Transfer,1,4,Returned,In-Store,Platinum,MC-5759
INV-000080,2025-09-08,2025-09-12,In-Store Pickup,CL-8259,Karen Wright,E-commerce,France,Paris,MI,40639,PD-1727,Wearable Tech,Cordless Drill,1230.36,7,0.17,176.98,Bank Transfer,1,5,No Return,Wholesale,Bronze,MC-3038
INV-000028,2024-09-09,2024-09-13,Drone Delivery,CL-5250,James Parker,E-commerce,France,Marseille,FL,61583,PD-4054,Automotive Parts,Smart Ring,1554.67,9,0.34,247.04,PayPal,5,2,Returned,Wholesale,Bronze,MC-6571
INV-000050,2025-02-10,2025-02-14,Drone Delivery,CL-4090,David Harris,E-commerce,Germany,Hamburg,TX,37344,PD-2014,Wearable Tech,Smart Ring,422.76,8,0.22,164.16,Credit Card,3,2,Returned,Online,Gold,MC-9333
INV-000032,2024-10-07,2024-10-11,In-Store Pickup,CL-4133,Laura Martinez,E-commerce,Netherlands,Rotterdam,TX,30747,PD-1956,Fitness Gear,Decorative Lamp,462.01,2,0.19,271.3,Bank Transfer,1,4,Returned,Online,Silver,MC-8676
INV-000039,2024-11-25,2024-11-29,In-Store Pickup,CL-3070,David Harris,E-commerce,Italy,Naples,MI,78138,PD-1499,Automotive Parts,Car Battery,686.63,3,0.32,123.65,Bitcoin,5,4,No Return,Wholesale,Bronze,MC-7974
INV-000057,2025-03-31,2025-04-04,Freight,CL-2013,Karen Wright,Retail Partner,Italy,Milan,TX,65896,PD-1207,Wearable Tech,Cordless Drill,2004.99,11,0.27,186.53,Bitcoin,5,5,Returned,Online,Gold,MC-6903
INV-000097,2026-01-05,2026-01-09,In-Store Pickup,CL-6651,David Harris,Retail Partner,Netherlands,Rotterdam,TX,54261,PD-1809,Wearable Tech,Car Battery,471.29,5,0.26,133.23,Cash,5,3,Returned,Wholesale,Silver,MC-1188
INV-000013,2024-05-27,2024-05-31,Drone Delivery,CL-7345,Jennifer Lee,Retail Partner,France,Marseille,NV,67537,PD-2746,Wearable Tech,Car Battery,2377.33,8,0.3,321.47,Bank Transfer,1,3,Returned,Wholesale,Bronze,MC-9693
INV-000087,2025-10-27,2025-10-31,In-Store Pickup,CL-7520,Laura Martinez,Retail Partner,Germany,Berlin,FL,57385,PD-2215,Garden Tools,Decorative Lamp,1952.32,1,0.21,101.81,Bitcoin,3,1,No Return,Online,Gold,MC-6551
INV-000100,2026-01-26,2026-01-30,Freight,CL-8504,Laura Martinez,E-commerce,Netherlands,Rotterdam,SF,71811,PD-3360,Automotive Parts,Car Battery,591.47,8,0.17,361.17,Bank Transfer,1,2,No Return,In-Store,Bronze,MC-6943
INV-000012,2024-05-20,2024-05-24,In-Store Pickup,CL-3197,James Parker,E-commerce,Germany,Berlin,TX,34146,PD-4334,Wearable Tech,Decorative Lamp,576.68,3,0.05,77.32,Bitcoin,1,5,No Return,In-Store,Silver,MC-1588
INV-000043,2024-12-23,2024-12-27,Freight,CL-4809,Karen Wright,E-commerce,France,Lyon,TX,43417,PD-4821,Garden Tools,Car Battery,2401.23,1,0.29,368.17,Credit Card,2,1,Returned,Online,Silver,MC-6606
INV-000076,2025-08-11,2025-08-15,Freight,CL-4653,Laura Martinez,E-commerce,Spain,Barcelona,NV,37465,PD-4070,Fitness Gear,Decorative Lamp,451.05,1,0.12,310.26,Credit Card,3,2,Returned,Wholesale,Silver,MC-8668
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-1940
INV-000055,2025-03-17,2025-03-21,Freight,CL-7971,Laura Martinez,E-commerce,France,Marseille,SF,36389,PD-4139,Automotive Parts,Smart Ring,844.35,2,0.11,228.93,Cash,2,2,Returned,Wholesale,None,MC-9368
INV-000004,2024-03-25,2024-03-29,Freight,CL-9549,Laura Martinez,E-commerce,Netherlands,Amsterdam,SF,51700,PD-3034,Wearable Tech,Decorative Lamp,1623.92,9,0.18,19.08,Credit Card,2,5,No Return,In-Store,Gold,MC-6319
INV-000067,2025-06-09,2025-06-13,Freight,CL-7569,Jennifer Lee,Retail Partner,Netherlands,Rotterdam,FL,54090,PD-1815,Wearable Tech,Cordless Drill,1215.88,8,0.13,132.75,Cash,5,2,Returned,In-Store,None,MC-5771
INV-000074,2025-07-28,2025-08-01,Freight,CL-7206,James Parker,Retail Partner,Netherlands,Amsterdam,MI,71713,PD-1459,Home Decor,Decorative Lamp,2078.64,7,0.23,394.12,Bitcoin,5,3,No Return,Online,Bronze,MC-6967
INV-000035,2024-10-28,2024-11-01,Freight,CL-9974,Jennifer Lee,E-commerce,Italy,Rome,SF,69948,PD-3674,Fitness Gear,Decorative Lamp,1661.69,1,0.27,178.37,Cash,3,1,No Return,In-Store,Gold,MC-3752
INV-000006,2024-04-08,2024-04-12,Drone Delivery,CL-8482,Laura Martinez,E-commerce,Netherlands,Rotterdam,NV,58836,PD-2022,Automotive Parts,Yoga Mat,286.71,11,0.34,102.01,PayPal,5,1,No Return,In-Store,Silver,MC-3061
INV-000025,2024-08-19,2024-08-23,In-Store Pickup,CL-8402,David Harris,E-commerce,France,Marseille,SF,62686,PD-2761,Fitness Gear,Yoga Mat,2056.27,2,0.24,144.55,Cash,1,3,Returned,Online,None,MC-8222
INV-000049,2025-02-03,2025-02-07,Drone Delivery,CL-8363,James Parker,E-commerce,Italy,Milan,SF,44383,PD-3314,Automotive Parts,Yoga Mat,923.93,10,0.33,391.04,Credit Card,2,1,Returned,In-Store,Gold,MC-5038
INV-000009,2024-04-29,2024-05-03,Drone Delivery,CL-9811,Jennifer Lee,Retail Partner,France,Marseille,TX,31797,PD-2164,Garden Tools,Yoga Mat,2390.0,1,0.22,215.84,Credit Card,2,2,Returned,In-Store,Bronze,MC-2635
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-4135
INV-000055,2025-03-17,2025-03-21,Freight,CL-7971,Laura Martinez,E-commerce,France,Marseille,SF,36389,PD-4139,Automotive Parts,Smart Ring,844.35,2,0.11,228.93,Cash,2,2,Returned,Wholesale,None,MC-8087
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-7467
INV-000054,2025-03-10,2025-03-14,Freight,CL-6120,James Parker,E-commerce,Italy,Rome,SF,55663,PD-4476,Automotive Parts,Decorative Lamp,2339.61,2,0.13,22.91,Credit Card,2,4,No Return,In-Store,None,MC-3927
INV-000008,2024-04-22,2024-04-26,Drone Delivery,CL-6379,James Parker,E-commerce,Netherlands,Rotterdam,SF,31469,PD-2454,Home Decor,Yoga Mat,1181.3,2,0.29,81.74,Bank Transfer,3,5,Returned,In-Store,None,MC-7581
INV-000078,2025-08-25,2025-08-29,Drone Delivery,CL-6822,Karen Wright,E-commerce,Germany,Hamburg,TX,38483,PD-3877,Garden Tools,Car Battery,2027.87,7,0.1,350.62,Bank Transfer,5,2,Returned,Online,Silver,MC-7107
INV-000091,2025-11-24,2025-11-28,In-Store Pickup,CL-9882,Laura Martinez,E-commerce,Spain,Madrid,SF,41638,PD-4354,Garden Tools,Decorative Lamp,1293.99,3,0.06,235.59,Bank Transfer,2,5,No Return,Online,Gold,MC-2243
INV-000043,2024-12-23,2024-12-27,Freight,CL-4809,Karen Wright,E-commerce,France,Lyon,TX,43417,PD-4821,Garden Tools,Car Battery,2401.23,1,0.29,368.17,Credit Card,2,1,Returned,Online,Silver,MC-1955
INV-000039,2024-11-25,2024-11-29,In-Store Pickup,CL-3070,David Harris,E-commerce,Italy,Naples,MI,78138,PD-1499,Automotive Parts,Car Battery,686.63,3,0.32,123.65,Bitcoin,5,4,No Return,Wholesale,Bronze,MC-6445
INV-000006,2024-04-08,2024-04-12,Drone Delivery,CL-8482,Laura Martinez,E-commerce,Netherlands,Rotterdam,NV,58836,PD-2022,Automotive Parts,Yoga Mat,286.71,11,0.34,102.01,PayPal,5,1,No Return,In-Store,Silver,MC-6070
INV-000048,2025-01-27,2025-01-31,Drone Delivery,CL-3080,Jennifer Lee,Retail Partner,Italy,Naples,SF,51873,PD-3712,Home Decor,Smart Ring,1356.37,9,0.13,383.98,Bank Transfer,3,2,Returned,In-Store,Platinum,MC-6169
INV-000019,2024-07-08,2024-07-12,Drone Delivery,CL-8325,Jennifer Lee,Retail Partner,Italy,Rome,NV,37817,PD-2871,Home Decor,Cordless Drill,1794.09,4,0.32,335.41,Bank Transfer,2,1,No Return,Wholesale,Bronze,MC-9534
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-8051
INV-000010,2024-05-06,2024-05-10,Freight,CL-7818,Laura Martinez,E-commerce,France,Paris,TX,40718,PD-3972,Automotive Parts,Decorative Lamp,1559.62,9,0.1,157.01,Cash,1,4,Returned,Wholesale,Bronze,MC-7068
INV-000069,2025-06-23,2025-06-27,In-Store Pickup,CL-2247,David Harris,Retail Partner,Italy,Naples,FL,62700,PD-1587,Automotive Parts,Yoga Mat,515.42,8,0.18,264.75,PayPal,2,4,Returned,In-Store,Silver,MC-2636
INV-000019,2024-07-08,2024-07-12,Drone Delivery,CL-8325,Jennifer Lee,Retail Partner,Italy,Rome,NV,37817,PD-2871,Home Decor,Cordless Drill,1794.09,4,0.32,335.41,Bank Transfer,2,1,No Return,Wholesale,Bronze,MC-7516
INV-000052,2025-02-24,2025-02-28,In-Store Pickup,CL-9225,Laura Martinez,E-commerce,Italy,Milan,TX,31982,PD-2721,Fitness Gear,Cordless Drill,217.44,8,0.2,257.44,Credit Card,3,4,No Return,In-Store,Bronze,MC-7220
INV-000007,2024-04-15,2024-04-19,In-Store Pickup,CL-6581,James Parker,Retail Partner,Spain,Barcelona,TX,50374,PD-3406,Garden Tools,Yoga Mat,90.48,10,0.25,192.23,Cash,3,2,No Return,In-Store,Silver,MC-1800
INV-000008,2024-04-22,2024-04-26,Drone Delivery,CL-6379,James Parker,E-commerce,Netherlands,Rotterdam,SF,31469,PD-2454,Home Decor,Yoga Mat,1181.3,2,0.29,81.74,Bank Transfer,3,5,Returned,In-Store,None,MC-7500
INV-000033,2024-10-14,2024-10-18,Freight,CL-7823,Jennifer Lee,Retail Partner,France,Paris,SF,41882,PD-4308,Automotive Parts,Smart Ring,930.59,10,0.07,182.65,Cash,2,2,Returned,In-Store,Platinum,MC-3666
INV-000081,2025-09-15,2025-09-19,Drone Delivery,CL-4609,Karen Wright,Retail Partner,Germany,Berlin,NV,75682,PD-4622,Garden Tools,Yoga Mat,1158.23,8,0.15,244.74,PayPal,2,3,No Return,Wholesale,None,MC-2019
INV-000099,2026-01-19,2026-01-23,Drone Delivery,CL-6610,Jennifer Lee,E-commerce,Netherlands,The Hague,FL,53416,PD-3838,Wearable Tech,Decorative Lamp,1679.73,7,0.3,301.29,Credit Card,1,3,Returned,Wholesale,Gold,MC-7624
INV-000009,2024-04-29,2024-05-03,Drone Delivery,CL-9811,Jennifer Lee,Retail Partner,France,Marseille,TX,31797,PD-2164,Garden Tools,Yoga Mat,2390.0,1,0.22,215.84,Credit Card,2,2,Returned,In-Store,Bronze,MC-5626
INV-000006,2024-04-08,2024-04-12,Drone Delivery,CL-8482,Laura Martinez,E-commerce,Netherlands,Rotterdam,NV,58836,PD-2022,Automotive Parts,Yoga Mat,286.71,11,0.34,102.01,PayPal,5,1,No Return,In-Store,Silver,MC-1252
INV-000002,2024-03-11,2024-03-15,Freight,CL-8461,Jennifer Lee,Retail Partner,Italy,Naples,NV,62933,PD-2253,Wearable Tech,Car Battery,1816.01,6,0.17,232.22,Cash,2,1,No Return,Online,Silver,MC-5288
INV-000045,2025-01-06,2025-01-10,Freight,CL-5890,Jennifer Lee,Retail Partner,Spain,Barcelona,TX,74076,PD-2875,Home Decor,Car Battery,665.25,6,0.13,244.9,Bitcoin,3,4,No Return,Wholesale,Gold,MC-2706
INV-000085,2025-10-13,2025-10-17,Drone Delivery,CL-7705,Laura Martinez,E-commerce,Germany,Hamburg,NV,77224,PD-3820,Fitness Gear,Cordless Drill,1079.04,9,0.11,135.92,Credit Card,2,5,No Return,Wholesale,Silver,MC-7842
INV-000026,2024-08-26,2024-08-30,Drone Delivery,CL-8694,James Parker,E-commerce,Spain,Barcelona,SF,62498,PD-4808,Home Decor,Yoga Mat,277.44,3,0.32,287.53,Bank Transfer,1,4,No Return,Online,None,MC-5540
INV-000016,2024-06-17,2024-06-21,In-Store Pickup,CL-6641,Laura Martinez,E-commerce,Spain,Valencia,MI,48797,PD-4902,Fitness Gear,Decorative Lamp,82.59,1,0.32,91.5,Bank Transfer,1,1,No Return,Wholesale,None,MC-7332
INV-000014,2024-06-03,2024-06-07,In-Store Pickup,CL-9904,Karen Wright,Retail Partner,Spain,Barcelona,MI,68764,PD-3670,Wearable Tech,Cordless Drill,2027.5,3,0.06,352.46,Cash,2,3,Returned,In-Store,Silver,MC-4162
INV-000052,2025-02-24,2025-02-28,In-Store Pickup,CL-9225,Laura Martinez,E-commerce,Italy,Milan,TX,31982,PD-2721,Fitness Gear,Cordless Drill,217.44,8,0.2,257.44,Credit Card,3,4,No Return,In-Store,Bronze,MC-9091
INV-000087,2025-10-27,2025-10-31,In-Store Pickup,CL-7520,Laura Martinez,Retail Partner,Germany,Berlin,FL,57385,PD-2215,Garden Tools,Decorative Lamp,1952.32,1,0.21,101.81,Bitcoin,3,1,No Return,Online,Gold,MC-1198
INV-000032,2024-10-07,2024-10-11,In-Store Pickup,CL-4133,Laura Martinez,E-commerce,Netherlands,Rotterdam,TX,30747,PD-1956,Fitness Gear,Decorative Lamp,462.01,2,0.19,271.3,Bank Transfer,1,4,Returned,Online,Silver,MC-1934
INV-000080,2025-09-08,2025-09-12,In-Store Pickup,CL-8259,Karen Wright,E-commerce,France,Paris,MI,40639,PD-1727,Wearable Tech,Cordless Drill,1230.36,7,0.17,176.98,Bank Transfer,1,5,No Return,Wholesale,Bronze,MC-2635
INV-000040,2024-12-02,2024-12-06,Drone Delivery,CL-7953,Jennifer Lee,E-commerce,Germany,Berlin,SF,40897,PD-3960,Wearable Tech,Cordless Drill,2214.3,6,0.17,356.73,Cash,5,2,Returned,Wholesale,Bronze,MC-3004
INV-000015,2024-06-10,2024-06-14,In-Store Pickup,CL-2845,Jennifer Lee,Retail Partner,Spain,Valencia,SF,37049,PD-2077,Automotive Parts,Smart Ring,1819.8,4,0.28,260.79,Credit Card,2,3,Returned,Online,Bronze,MC-1544
INV-000001,2024-03-04,2024-03-08,Freight,CL-9940,David Harris,E-commerce,Spain,Madrid,NV,50176,PD-2296,Home Decor,Cordless Drill,924.88,10,0.16,390.52,Cash,1,5,No Return,Online,Gold,MC-3410
INV-000080,2025-09-08,2025-09-12,In-Store Pickup,CL-8259,Karen Wright,E-commerce,France,Paris,MI,40639,PD-1727,Wearable Tech,Cordless Drill,1230.36,7,0.17,176.98,Bank Transfer,1,5,No Return,Wholesale,Bronze,MC-6692
INV-000073,2025-07-21,2025-07-25,Drone Delivery,CL-8718,Laura Martinez,E-commerce,Italy,Naples,NV,33302,PD-2703,Wearable Tech,Car Battery,1108.45,2,0.2,235.24,Credit Card,3,4,Returned,Online,Platinum,MC-9122
